officer_id,score,xbin,ypos
4535,0.08,0,163
4623,0.08,0,164
4668,0.08,0,165
4802,0.08,0,166
4862,0.08,0,167
5035,0.08,0,168
5699,0.08,0,169
5712,0.08,0,170
5895,0.08,0,171
5909,0.08,0,172
6087,0.08,0,173
6102,0.08,0,174
6141,0.08,0,175
6150,0.08,0,176
6165,0.08,0,177
6194,0.08,0,178
6244,0.08,0,179
6542,0.08,0,180
62,0.07,0,181
69,0.07,0,182
86,0.07,0,183
109,0.07,0,184
113,0.07,0,185
137,0.07,0,186
224,0.07,0,187
228,0.07,0,188
238,0.07,0,189
241,0.07,0,190
254,0.07,0,191
265,0.07,0,192
326,0.07,0,193
328,0.07,0,194
396,0.07,0,195
397,0.07,0,196
506,0.07,0,197
515,0.07,0,198
533,0.07,0,199
545,0.07,0,200
561,0.07,0,201
564,0.07,0,202
578,0.07,0,203
579,0.07,0,204
647,0.07,0,205
660,0.07,0,206
694,0.07,0,207
744,0.07,0,208
808,0.07,0,209
835,0.07,0,210
844,0.07,0,211
851,0.07,0,212
852,0.07,0,213
883,0.07,0,214
919,0.07,0,215
942,0.07,0,216
984,0.07,0,217
985,0.07,0,218
994,0.07,0,219
1022,0.07,0,220
1069,0.07,0,221
1071,0.07,0,222
1169,0.07,0,223
1202,0.07,0,224
1220,0.07,0,225
1252,0.07,0,226
1303,0.07,0,227
1306,0.07,0,228
1345,0.07,0,229
1445,0.07,0,230
1454,0.07,0,231
1497,0.07,0,232
1549,0.07,0,233
1556,0.07,0,234
1585,0.07,0,235
1658,0.07,0,236
1704,0.07,0,237
1718,0.07,0,238
1744,0.07,0,239
1781,0.07,0,240
1783,0.07,0,241
1848,0.07,0,242
1880,0.07,0,243
1884,0.07,0,244
1906,0.07,0,245
1907,0.07,0,246
1954,0.07,0,247
1964,0.07,0,248
1968,0.07,0,249
2005,0.07,0,250
2010,0.07,0,251
2035,0.07,0,252
2127,0.07,0,253
2134,0.07,0,254
2268,0.07,0,255
2300,0.07,0,256
2315,0.07,0,257
2392,0.07,0,258
2420,0.07,0,259
2479,0.07,0,260
2501,0.07,0,261
2504,0.07,0,262
2569,0.07,0,263
2620,0.07,0,264
2652,0.07,0,265
2680,0.07,0,266
2686,0.07,0,267
2697,0.07,0,268
2700,0.07,0,269
2715,0.07,0,270
2759,0.07,0,271
2767,0.07,0,272
2831,0.07,0,273
2844,0.07,0,274
2979,0.07,0,275
3075,0.07,0,276
3111,0.07,0,277
3172,0.07,0,278
3243,0.07,0,279
3264,0.07,0,280
3418,0.07,0,281
3473,0.07,0,282
3501,0.07,0,283
3560,0.07,0,284
3581,0.07,0,285
3634,0.07,0,286
3637,0.07,0,287
3661,0.07,0,288
3695,0.07,0,289
3708,0.07,0,290
3728,0.07,0,291
3847,0.07,0,292
3887,0.07,0,293
3891,0.07,0,294
3947,0.07,0,295
3957,0.07,0,296
3963,0.07,0,297
3972,0.07,0,298
3985,0.07,0,299
3989,0.07,0,300
3999,0.07,0,301
4019,0.07,0,302
4029,0.07,0,303
4221,0.07,0,304
4295,0.07,0,305
4328,0.07,0,306
4340,0.07,0,307
4360,0.07,0,308
4381,0.07,0,309
4386,0.07,0,310
4411,0.07,0,311
4440,0.07,0,312
4466,0.07,0,313
4486,0.07,0,314
4518,0.07,0,315
4548,0.07,0,316
4556,0.07,0,317
4600,0.07,0,318
4642,0.07,0,319
4703,0.07,0,320
4740,0.07,0,321
4774,0.07,0,322
4776,0.07,0,323
4841,0.07,0,324
4851,0.07,0,325
4854,0.07,0,326
4868,0.07,0,327
4919,0.07,0,328
4964,0.07,0,329
5001,0.07,0,330
5060,0.07,0,331
5066,0.07,0,332
5123,0.07,0,333
5144,0.07,0,334
5148,0.07,0,335
5202,0.07,0,336
5211,0.07,0,337
5274,0.07,0,338
5288,0.07,0,339
5300,0.07,0,340
5324,0.07,0,341
5337,0.07,0,342
5340,0.07,0,343
5342,0.07,0,344
5366,0.07,0,345
5375,0.07,0,346
5377,0.07,0,347
5382,0.07,0,348
5399,0.07,0,349
5427,0.07,0,350
5442,0.07,0,351
5457,0.07,0,352
5459,0.07,0,353
5486,0.07,0,354
5514,0.07,0,355
5527,0.07,0,356
5539,0.07,0,357
5540,0.07,0,358
5556,0.07,0,359
5578,0.07,0,360
5651,0.07,0,361
5678,0.07,0,362
5698,0.07,0,363
5719,0.07,0,364
5748,0.07,0,365
5771,0.07,0,366
5791,0.07,0,367
5841,0.07,0,368
5858,0.07,0,369
5933,0.07,0,370
5939,0.07,0,371
5953,0.07,0,372
6027,0.07,0,373
6043,0.07,0,374
6054,0.07,0,375
6071,0.07,0,376
6086,0.07,0,377
6092,0.07,0,378
6097,0.07,0,379
6136,0.07,0,380
6154,0.07,0,381
6180,0.07,0,382
6238,0.07,0,383
6258,0.07,0,384
6269,0.07,0,385
6287,0.07,0,386
6289,0.07,0,387
6305,0.07,0,388
6355,0.07,0,389
6365,0.07,0,390
6387,0.07,0,391
6421,0.07,0,392
6449,0.07,0,393
6486,0.07,0,394
6532,0.07,0,395
6600,0.07,0,396
6613,0.07,0,397
6614,0.07,0,398
6672,0.07,0,399
6709,0.07,0,400
104,0.06,0,401
114,0.06,0,402
